case_id,pytorch_dice,onnx_fp32_dice,onnx_int8_dice,int8_minus_pytorch
BraTS-PED-00261-000,0.73106354,0.73106354,0.76990235,0.03883881
BraTS-PED-00145-000,0.29103017,0.29103017,0.27036670,-0.02066347
BraTS-PED-00199-000,0.92573804,0.92573804,0.92616522,0.00042718
BraTS-PED-00161-000,0.90486395,0.90486395,0.90214169,-0.00272226
BraTS-PED-00124-000,0.91335422,0.91335422,0.91506135,0.00170713
BraTS-PED-00048-000,0.89589345,0.89589345,0.89443207,-0.00146138
BraTS-PED-00156-000,0.51469082,0.51469082,0.49676999,-0.01792083
BraTS-PED-00137-000,0.81456101,0.81456101,0.81001979,-0.00454122
BraTS-PED-00168-000,0.88420057,0.88420057,0.88278651,-0.00141406
BraTS-PED-00091-000,0.79976940,0.79976940,0.81011963,0.01035023
BraTS-PED-00053-000,0.88021296,0.88021296,0.87627494,-0.00393802
BraTS-PED-00221-000,0.91357285,0.91357285,0.91100419,-0.00256866
BraTS-PED-00182-000,0.87262547,0.87262547,0.87339401,0.00076854
BraTS-PED-00041-000,0.83866650,0.83866650,0.83825105,-0.00041545
BraTS-PED-00035-000,0.90479082,0.90479082,0.90648431,0.00169349
BraTS-PED-00131-000,0.78484601,0.78484601,0.80716038,0.02231437
BraTS-PED-00139-000,0.89671361,0.89671361,0.89640331,-0.00031030
BraTS-PED-00259-000,0.91100919,0.91100919,0.90979856,-0.00121063
BraTS-PED-00008-000,0.79067940,0.79067940,0.78676927,-0.00391013
BraTS-PED-00158-000,0.95295393,0.95295393,0.95268202,-0.00027191
BraTS-PED-00191-000,0.95318836,0.95318836,0.95104897,-0.00213939
BraTS-PED-00163-000,0.67760748,0.67760748,0.67152143,-0.00608605
BraTS-PED-00129-000,0.90208924,0.90208924,0.90192616,-0.00016308
BraTS-PED-00040-000,0.81513792,0.81513792,0.81961572,0.00447780
BraTS-PED-00242-000,0.84728259,0.84728259,0.84648883,-0.00079376
BraTS-PED-00109-000,0.92106766,0.92106766,0.92432845,0.00326079
BraTS-PED-00028-000,0.80873579,0.80873579,0.81137317,0.00263738
BraTS-PED-00220-000,0.91288781,0.91288781,0.91391122,0.00102341
BraTS-PED-00079-000,0.89991206,0.89991206,0.90125197,0.00133991
BraTS-PED-00232-000,0.93612814,0.93612814,0.93763012,0.00150198
BraTS-PED-00207-000,0.91192591,0.91192591,0.91198182,0.00005591
BraTS-PED-00036-000,0.87659508,0.87659508,0.87592262,-0.00067246
BraTS-PED-00173-000,0.85786629,0.85786629,0.85898769,0.00112140
BraTS-PED-00130-000,0.90039688,0.90039688,0.90152055,0.00112367
BraTS-PED-00078-000,0.92407507,0.92407507,0.92223507,-0.00184000
BraTS-PED-00038-000,0.86618161,0.86618161,0.86879545,0.00261384
BraTS-PED-00184-000,0.91871655,0.91871655,0.91901267,0.00029612
BraTS-PED-00094-000,0.88867074,0.88867074,0.89303237,0.00436163
